seed,horizon,budget,exploration_param,gamma,steps
4839635,24,316228,8,1.0,200
4839635,10,630957,32,0.9,106
4839635,40,39811,8,0.95,200
4839634,38,7943,8,1.0,200
4839635,32,2512,8,1.0,32
4839635,30,79433,32,1.0,200
4839634,26,398107,8,1.0,150
4839634,10,6310,16,1.0,48
4839635,30,7943,8,1.0,200
4839635,28,50119,8,0.9,200
4839634,26,63096,16,0.95,200
4839635,38,158489,16,0.9,200
4839635,16,100000,8,1.0,200
4839635,38,398107,16,1.0,200
4839635,26,25119,32,0.9,15
4839634,18,39811,16,1.0,200
4839634,14,12589,8,1.0,142
4839635,16,125893,16,0.9,200
4839634,26,158489,16,0.9,174
4839635,12,630957,16,0.9,47
4839634,14,501187,32,1.0,200
4839634,28,1995,8,0.95,20
4839634,16,398107,16,0.95,200
4839634,18,39811,16,0.95,200
4839635,10,1000,32,0.95,31
4839635,32,100000,8,1.0,200
4839634,18,19953,8,1.0,200
4839635,12,6310,32,0.9,31
4839635,34,63096,16,0.95,200
4839635,36,1585,8,0.95,21
4839634,38,10000,8,0.95,200
4839634,24,19953,32,1.0,200
4839634,28,3981,32,0.95,24
4839634,40,1585,8,0.95,20
4839635,26,63096,32,1.0,200
4839635,26,19953,32,0.9,23
4839634,30,1259,32,0.95,23
4839635,28,398107,8,0.9,200
4839634,16,63096,8,1.0,185
4839635,20,1585,32,1.0,54
4839635,12,15849,16,0.9,40
4839635,12,6310,8,0.95,104
4839635,20,63096,16,1.0,200
4839635,36,7943,32,1.0,153
4839634,24,1000,32,1.0,15
4839635,30,6310,8,0.9,37
4839634,26,10000,8,0.95,200
4839634,34,7943,32,0.9,12
4839634,38,1000000,32,0.95,200
4839635,38,199526,16,0.95,200
4839635,32,19953,16,0.95,200
4839635,38,7943,32,1.0,109
4839635,14,1000000,8,1.0,200
4839634,30,15849,16,0.95,168
4839634,34,158489,8,0.95,200
4839635,12,501187,32,1.0,175
4839634,30,1995,8,1.0,89
4839634,12,630957,32,0.95,200
4839635,14,63096,32,0.95,23
4839635,36,199526,32,0.9,96
4839634,36,100000,8,0.9,200
4839634,28,199526,8,0.95,200
4839634,10,501187,16,1.0,200
4839634,30,3162,32,0.95,37
4839635,18,10000,8,0.95,200
4839634,34,125893,16,0.9,69
4839634,38,1585,16,0.9,15
4839635,40,12589,32,0.95,44
4839634,28,501187,32,0.95,200
4839634,38,398107,16,1.0,200
4839635,20,3981,32,0.9,24
4839634,10,5012,16,1.0,34
4839634,34,1995,8,0.9,53
4839634,14,25119,16,0.9,87
4839635,26,3981,16,1.0,200
4839634,34,31623,16,1.0,200
4839635,28,158489,16,0.95,200
4839634,28,125893,8,1.0,200
4839635,24,63096,32,1.0,200
4839635,16,6310,32,0.9,30
4839634,12,794328,8,0.95,150
4839635,18,316228,32,1.0,200
4839635,32,158489,16,0.9,200
4839634,18,79433,8,0.9,200
4839635,16,125893,16,1.0,200
4839634,10,63096,16,0.95,62
4839635,38,50119,32,0.95,47
4839634,20,79433,32,0.9,44
4839634,20,12589,32,0.95,52
4839635,14,199526,32,0.9,181
4839634,20,31623,8,1.0,200
4839635,22,1259,16,1.0,59
4839635,30,251189,32,1.0,200
4839635,14,3162,16,1.0,55
4839635,38,1995,16,0.95,14
4839634,16,2512,32,0.9,15
4839634,36,7943,16,1.0,200
4839635,36,3981,16,0.95,32
4839634,20,316228,32,0.9,200
4839634,20,15849,8,0.9,41
4839634,36,199526,16,0.95,200
4839634,12,251189,16,0.95,200
