seed,horizon,budget,exploration_param,gamma,steps
4839643,16,158489,16,1.0,500
4839643,34,1259,32,1.0,56
4839643,10,501187,32,0.95,38
4839643,38,7943,16,1.0,343
4839643,20,7943,16,0.95,33
4839643,32,50119,16,0.95,463
4839643,30,2512,16,0.95,62
4839643,30,2512,16,0.9,27
4839643,16,3981,32,0.95,28
4839643,24,158489,16,0.9,379
4839643,18,316228,16,1.0,500
4839643,32,6310,16,0.9,29
4839643,22,63096,32,0.95,382
4839643,14,501187,16,1.0,500
4839643,20,501187,32,0.9,247
4839643,12,251189,16,1.0,218
4839643,40,1000,32,0.9,21
4839643,12,1585,32,0.9,19
4839643,20,3162,32,1.0,33
4839643,32,7943,16,0.9,31
4839643,30,3162,16,0.9,49
4839643,12,15849,32,1.0,29
4839643,38,79433,32,0.95,450
4839643,38,50119,16,0.9,72
4839643,12,1000000,16,1.0,500
4839643,26,100000,32,0.9,41
4839643,22,3162,32,1.0,25
4839643,34,79433,32,1.0,500
4839643,12,100000,32,0.9,28
4839643,40,158489,16,0.95,500
4839643,10,15849,32,0.9,32
4839643,38,1259,16,1.0,44
4839643,24,1995,16,0.9,18
4839643,20,5012,16,0.9,41
4839643,14,1000,32,1.0,21
4839643,18,6310,16,0.95,39
4839643,40,79433,16,0.95,500
4839643,12,5012,32,1.0,48
4839643,38,158489,16,1.0,465
4839643,26,79433,16,0.95,500
4839643,20,10000,32,0.9,36
4839643,24,3162,16,1.0,203
4839643,14,199526,16,1.0,500
4839643,10,5012,16,0.95,35
4839643,38,501187,16,0.9,476
4839643,16,7943,32,0.95,39
4839643,14,10000,16,0.9,33
4839643,12,39811,32,0.9,26
4839643,16,7943,16,0.95,20
4839643,10,3162,32,0.9,16
4839643,36,1585,32,0.9,24
4839643,16,63096,16,0.95,307
4839643,28,125893,32,0.9,37
4839643,26,1585,16,0.95,53
4839643,28,398107,16,0.9,411
4839643,36,25119,16,0.95,366
4839643,20,251189,32,1.0,500
4839643,32,100000,16,1.0,500
4839643,22,31623,32,0.95,83
4839643,16,12589,32,0.95,27
4839643,10,100000,32,1.0,43
4839643,14,1000000,16,1.0,500
4839643,16,31623,16,0.95,209
4839643,40,7943,16,0.9,27
4839643,24,398107,32,1.0,378
4839643,34,63096,32,1.0,500
4839643,22,398107,32,0.9,227
4839643,26,6310,16,0.9,55
4839643,22,31623,16,0.9,34
4839643,18,39811,16,0.95,500
4839643,36,19953,16,0.95,500
4839643,16,501187,16,0.95,332
4839643,28,199526,32,1.0,500
4839643,38,10000,16,1.0,41
4839643,36,251189,32,0.95,500
4839643,10,63096,16,0.95,54
4839643,36,10000,16,1.0,334
4839643,16,6310,32,1.0,30
4839643,20,7943,32,0.95,32
4839643,34,1000000,16,0.95,500
4839643,28,1995,16,1.0,39
4839643,14,39811,16,1.0,290
4839643,24,10000,16,0.95,69
4839643,22,12589,16,0.95,124
4839643,34,100000,32,0.9,56
4839643,14,7943,16,0.95,44
4839643,36,1000,16,1.0,25
4839643,18,100000,32,0.9,34
4839643,30,7943,32,1.0,71
4839643,32,1000,32,0.9,6
4839643,30,6310,16,0.95,28
4839643,20,100000,32,1.0,500
4839643,10,31623,32,0.95,63
4839643,14,3981,32,1.0,36
4839643,20,19953,16,1.0,500
4839643,22,15849,32,1.0,404
4839643,16,398107,32,1.0,500
4839643,38,31623,32,1.0,371
4839643,22,1259,32,0.9,10
4839643,14,31623,16,0.9,37
4839643,10,7943,32,0.95,70
4839643,26,3162,32,0.95,30
4839643,26,316228,32,0.9,118
4839643,24,100000,32,0.9,67
4839643,14,125893,32,0.9,34
4839643,10,1000,32,0.95,25
4839643,32,10000,16,1.0,500
4839643,24,79433,32,0.95,500
4839643,22,251189,16,1.0,401
4839643,18,3981,32,0.9,16
4839643,30,794328,16,0.95,500
4839643,12,199526,32,0.9,46
4839643,14,199526,16,0.95,500
4839643,24,19953,32,0.9,71
4839643,14,2512,16,0.9,35
4839643,22,25119,16,1.0,421
4839643,34,12589,32,1.0,34
4839643,28,100000,32,1.0,500
4839643,24,7943,16,0.9,27
4839643,26,12589,32,0.9,48
4839643,12,251189,16,0.95,146
4839643,24,794328,16,0.95,500
4839643,40,100000,32,0.9,94
4839643,16,251189,16,0.9,342
4839643,20,63096,32,1.0,500
4839643,32,12589,16,0.9,52
4839643,32,316228,32,1.0,500
4839643,40,50119,32,0.9,50
4839643,22,7943,32,0.9,23
4839643,30,316228,16,1.0,500
4839643,28,199526,16,0.95,495
4839643,18,7943,16,0.95,48
4839643,18,63096,16,1.0,500
4839643,20,1000,16,1.0,28
4839643,20,50119,16,1.0,500
4839643,12,19953,16,0.95,114
4839643,26,316228,16,0.95,500
4839643,32,1995,16,1.0,166
4839643,14,501187,32,1.0,500
4839643,24,316228,16,0.9,500
4839643,36,1000000,16,0.95,337
4839643,26,1585,16,1.0,84
