name,steps,id,id_old,equation,w,q_theta,q_x,note
Constant,200,A,C,\eqref{eq: reward 1},--,--,--,
Constant,500,B,T,\eqref{eq: reward 1},--,--,--,
Exponential to \\(\theta_1\\) I,200,C,E,\eqref{eq: exponential reward angle},1,0.25,--,
Exponential to \\(\theta_1\\) II,200,D,H,\eqref{eq: exponential reward angle},1,0.1,--,
Exponential to \\(\theta_1\\) III,200,E,I,\eqref{eq: exponential reward angle},1,0.4,--,
Exponential to \\(\theta_1\\) IV,200,F,L,\eqref{eq: exponential reward angle},1,0.55,--,
Exponential to \\(\theta_1\\) V,200,G,N,\eqref{eq: exponential reward angle},1,0.7,--,
Exponential to \\(\theta_1\\) VI,200,H,P,\eqref{eq: exponential reward angle},1,0.85,--,
Exponential to \\(\theta_1\\) V,500,I,U,\eqref{eq: exponential reward angle},1,0.7,--,
Exponential to \\(\theta_1\\) and \\(x\\) I,200,J,F,\eqref{eq: exponential reward angle},0.75,0.25,0.25,
Exponential to \\(\theta_1\\) and \\(x\\) II,200,K,Q,\eqref{eq: exponential reward angle},0.85,0.7,0.7,
Exponential to \\(\theta_1\\) and \\(x\\) III,200,L,R,\eqref{eq: exponential reward angle},0.7,0.7,0.7,
Exponential to \\(\theta_1\\) and \\(x\\) IV,200,M,S,\eqref{eq: exponential reward angle},0.85,0.7,0.4,
Exponential to \\(\theta_1\\) and \\(x\\) II,500,N,V,\eqref{eq: exponential reward angle},0.85,0.7,0.7,
Exponential to \\(\theta_1\\) and \\(x\\) III,500,O,W,\eqref{eq: exponential reward angle},0.7,0.7,0.7,
Exponential to \\(\theta_1\\) and \\(x\\) IV,500,P,X,\eqref{eq: exponential reward angle},0.85,0.7,0.4,
Exponential to \\(y^e\\) I,200,Q,G,\eqref{eq: exponential reward tip},1,0.25,--,
Exponential to \\(y^e\\) II,200,R,J,\eqref{eq: exponential reward tip},1,0.1,--,
Exponential to \\(y^e\\) III,200,S,K,\eqref{eq: exponential reward tip},1,0.4,--,
Exponential to \\(y^e\\) I,500,T,Y,\eqref{eq: exponential reward tip},1,0.25,--,
Exponential to \\(y^e\\) II,500,U,AB,\eqref{eq: exponential reward tip},1,0.1,--,
Exponential to \\(y^e\\) III,500,V,AC,\eqref{eq: exponential reward tip},1,0.4,--,
Exponential to \\(y^e\\) and \\(x^e\\) I,200,W,M,\eqref{eq: exponential reward tip},0.95,0.25,0.25,
Exponential to \\(y^e\\) and \\(x^e\\) II,200,X,O,\eqref{eq: exponential reward tip},0.8,0.25,0.25,
Exponential to \\(y^e\\) and \\(x^e\\) I,500,Y,AA,\eqref{eq: exponential reward tip},0.95,0.25,0.25,
Exponential to \\(y^e\\) and \\(x^e\\) II,500,Z,Z,\eqref{eq: exponential reward tip},0.8,0.25,0.25,
